Full_ID,Tower,Level,Zone,SOW,Column_ID,fwk_pc13,rebar_pc13,concrete_pc13,Category,fwk_pc14,rebar_pc14,concrete_pc14
T3-L4-Z17_MC-C1,T3,L4,Z17_MC,4,C1,0%,0%,0%,MC,100%,100%,100%
T3-L4-Z17_MC-C2,T3,L4,Z17_MC,4,C2,0%,0%,0%,MC,100%,100%,100%
T3-L4-Z17_MC-C3,T3,L4,Z17_MC,4,C3,0%,0%,0%,MC,100%,100%,100%
T3-L4-Z17_MC-C4,T3,L4,Z17_MC,4,C4,0%,0%,0%,MC,100%,100%,100%
T3-L4-Z17_MC-C5,T3,L4,Z17_MC,4,C5,0%,0%,0%,MC,100%,100%,100%
T3-L4-Z17_MC-C6,T3,L4,Z17_MC,4,C6,0%,0%,0%,MC,100%,100%,100%
T3-L4-Z17_MC-C7,T3,L4,Z17_MC,4,C7,0%,0%,0%,MC,100%,100%,100%
T3-L4-Z17_MC-C8,T3,L4,Z17_MC,4,C8,0%,0%,0%,MC,100%,100%,100%
T3-L4-Z17_MC-C9,T3,L4,Z17_MC,4,C9,0%,0%,0%,MC,100%,100%,100%
T3-L4-Z17_MC-C10,T3,L4,Z17_MC,4,C10,0%,0%,0%,MC,100%,100%,100%
T3-L4-Z17_MC-C11,T3,L4,Z17_MC,4,C11,0%,0%,0%,MC,100%,100%,100%
T3-L4-Z17_MC-C12,T3,L4,Z17_MC,4,C12,0%,0%,0%,MC,100%,100%,100%
T3-L3-Z10-C1,T3,L3,Z10,4,C1,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z10-C2,T3,L3,Z10,4,C2,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z10-C3,T3,L3,Z10,4,C3,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z10-C4,T3,L3,Z10,4,C4,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z10-C5,T3,L3,Z10,4,C5,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z10-C6,T3,L3,Z10,4,C6,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C1,T3,L3,Z11,4,C1,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C2,T3,L3,Z11,4,C2,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C3,T3,L3,Z11,4,C3,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C4,T3,L3,Z11,4,C4,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C5,T3,L3,Z11,4,C5,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C6,T3,L3,Z11,4,C6,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C7,T3,L3,Z11,4,C7,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C8,T3,L3,Z11,4,C8,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C9,T3,L3,Z11,4,C9,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C10,T3,L3,Z11,4,C10,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C11,T3,L3,Z11,4,C11,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C12,T3,L3,Z11,4,C12,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C13,T3,L3,Z11,4,C13,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C14,T3,L3,Z11,4,C14,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C15,T3,L3,Z11,4,C15,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C16,T3,L3,Z11,4,C16,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C17,T3,L3,Z11,4,C17,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C18,T3,L3,Z11,4,C18,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C19,T3,L3,Z11,4,C19,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C20,T3,L3,Z11,4,C20,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C21,T3,L3,Z11,4,C21,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C22,T3,L3,Z11,4,C22,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z11-C23,T3,L3,Z11,4,C23,100%,100%,100%,Column,100%,100%,100%
T3-L3-Z12-C1,T3,L3,Z12,4,C1,100%,100%,,Column,100%,100%,100%
T3-L3-Z12-C2,T3,L3,Z12,4,C2,,,,Column,100%,100%,100%
T3-L3-Z12-C3,T3,L3,Z12,4,C3,,,,Column,100%,100%,100%
T3-L3-Z12-C4,T3,L3,Z12,4,C4,,,,Column,100%,100%,100%
T3-L3-Z12-C5,T3,L3,Z12,4,C5,100%,100%,,Column,100%,100%,100%
T3-L3-Z12-C6,T3,L3,Z12,4,C6,,,,Column,100%,100%,100%
T3-L3-Z12-C7,T3,L3,Z12,4,C7,,,,Column,100%,100%,100%
T3-L3-Z12-C8,T3,L3,Z12,4,C8,100%,100%,,Column,100%,100%,100%
T3-L3-Z12-C9,T3,L3,Z12,4,C9,100%,100%,,Column,100%,100%,100%
T3-L3-Z12-C10,T3,L3,Z12,4,C10,,,,Column,100%,100%,100%
T3-L3-Z12-C11,T3,L3,Z12,4,C11,,,,Column,100%,100%,100%
T3-L3-Z12-C12,T3,L3,Z12,4,C12,100%,100%,,Column,100%,100%,100%
T3-L3-Z14-C1,T3,L3,Z14,4,C1,,,,Column,,100%,
T3-L3-Z14-C2,T3,L3,Z14,4,C2,,,,Column,,100%,
T3-L3-Z14-C3,T3,L3,Z14,4,C3,,,,Column,,100%,
T3-L3-Z14-C4,T3,L3,Z14,4,C4,,,,Column,,100%,
T3-L3-Z14-C5,T3,L3,Z14,4,C5,,,,Column,,100%,
T3-L3-Z14-C6,T3,L3,Z14,4,C6,,,,Column,,100%,
T3-L3-Z14-C7,T3,L3,Z14,4,C7,,,,Column,,100%,
T3-L3-Z14-C8,T3,L3,Z14,4,C8,,,,Column,,100%,
T3-L3-Z14-C9,T3,L3,Z14,4,C9,,,,Column,,100%,
T3-L3-Z14-C10,T3,L3,Z14,4,C10,,,,Column,,100%,
T3-L3-Z14-C11,T3,L3,Z14,4,C11,,,,Column,,100%,
T3-L3-Z14-C12,T3,L3,Z14,4,C12,,,,Column,,100%,
T3-L4-Z15_MC-C1,T3,L4,Z15_MC,4,C1,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z15_MC-C2,T3,L4,Z15_MC,4,C2,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z15_MC-C3,T3,L4,Z15_MC,4,C3,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z15_MC-C4,T3,L4,Z15_MC,4,C4,100%,100%,100%,MC,100%,100%,100%
T3-L4-Z15_MC-C5,T3,L4,Z15_MC,4,C5,100%,100%,100%,MC,100%,100%,100%
