tower,liftcore_id,level_start,level_finish,bill_ref,shear_pc13,shear_pc14,remarks
T4,ST1,LG2,LG1,SOW2,0,0,vo
T4,ST1,LG1,GF,SOW2,0,0,vo
T4,ST1,GF,L1,SOW2,0,0,vo
T4,ST1,L1,L1M,SOW5,0,0,
T4,ST1,L1M,L2,SOW6,0,0,
T4,ST1,L2,L3,SOW6,0,0,
T4,ST2,LG1,GF,SOW2,1,1,vo
T4,ST2,GF,L1,SOW2,0.66,0.66,
T4,ST2,L1,L1M,SOW5,0,0,
T4,ST2,L1M,L2,SOW6,0,0,
T4,ST2,L2,L3,SOW6,0,0,
T4,ST14,GF,L1,SOW2,0,0,
T4,ST14,L1,L1M,SOW2,0,0,
T4,ST14,L1M,L2,SOW2,0,0,
T4,ST14,L2,L3,SOW6,0,0,
T4,ST15,GF,L1,SOW2,1,1,
T4,ST15,L1,L1M,SOW2,0.33,0.33,
T4,ST15,L1M,L2,SOW2,0,0,
T4,ST15,L2,L3,SOW6,0,0,
T4,ST16,LG2,LG1,SOW2,1,1,
T4,ST16,LG1,GF,SOW2,1,1,
T4,ST16,GF,L1,SOW2,1,1,
T4,ST16,L1,L1M,SOW2,1,1,
T4,ST16,L1M,L2,SOW2,0,0,
T4,ST16,L2,L3,SOW6,0,0,
T4,ST34,L1,L1M,SOW2,1,1,
T4,ST34,L1M,L2,SOW2,0,0,
T4,ST34,L2,L3,SOW6,0,0,
T4,ST35,GF,L1,SOW2,1,1,
T4,ST35,L1,L1M,SOW2,0,0,
T4,ST35,L1M,L2,SOW2,0,0,
T4,ST35,L2,L3,SOW6,0,0,
T4,ST36,GF,L1,SOW2,0,0,
T4,ST36,L1,L1M,SOW2,0,0,
T4,ST36,L1M,L2,SOW2,0,0,
T4,ST36,L2,L3,SOW6,0,0,
T4,ST38,GF,L1,SOW2,1,1,
T4,ST38,L1,L1M,SOW2,0.33,0.33,
T4,ST38,L1M,L2,SOW2,0,0,
T4,ST38,L2,L3,SOW6,0,0,
T4,ST39,GF,L1,SOW2,0,0,
T4,ST40,LG2,LG1,SOW2,0,0,vo
T4,ST40,LG1,GF,SOW2,0,0,vo
T4,ST40,GF,L1,SOW2,0,0,vo
T3,ST24,LG1,GF,SOW2,0,0,
T3,ST24,GF,L1,SOW2,0,0,
T3,ST24,L1,L3,SOW4,0,0,
T3,ST24,L3,L4,SOW4,0,0,
T3,ST25,GF,L1,SOW2,0,0,
T3,ST25,L1,L3,SOW4,0,0,
T3,ST25,L3,L4,SOW4,0,0,
T3,ST26,GF,L1,SOW2,0,0,
T3,ST26,L1,L3,SOW4,0,0,
T3,ST26,L3,L4,SOW4,0,0,
T3,ST27,GF,L1,SOW2,0,0,
T3,ST27,L1,L3,SOW4,0,0,
T3,ST27,L3,L4,SOW4,0,0,
T3,ST28,GF,L1,SOW2,0,0,
T3,ST28,L1,L3,SOW4,0,0,
T3,ST28,L3,L4,SOW4,0,0,
T3,ST30,GF,L1,SOW2,0,0,
T3,ST30,L1,L3,SOW4,0,0,
T3,ST30,L3,L4,SOW4,0,0,
